,gen,avg,max
0,0,43.9875,53.0
1,1,46.775,53.0
2,2,48.4,53.0
3,3,49.9,53.0
4,4,51.025,54.25
5,5,51.15,54.25
6,6,52.025,54.25
7,7,52.625,55.75
8,8,52.3125,55.75
9,9,52.4,55.75
10,10,53.4875,55.75
11,11,53.2375,55.75
12,12,53.975,55.75
13,13,54.375,55.75
14,14,54.0375,55.75
15,15,54.3,55.75
16,16,55.3,57.25
17,17,54.575,57.25
18,18,53.2,57.25
19,19,53.8375,57.25
20,20,54.375,57.25
21,21,55.55,57.5
22,22,55.4875,57.5
23,23,56.6125,57.5
24,24,56.55,57.5
25,25,56.4875,57.5
26,26,55.65,57.5
27,27,55.6875,57.5
28,28,55.0375,57.5
29,29,55.7375,57.5
30,30,56.25,57.5
31,31,55.525,57.5
32,32,54.0125,57.5
33,33,55.775,57.5
34,34,56.3375,57.5
35,35,56.7,57.5
36,36,57.175,57.5
37,37,55.9875,57.5
38,38,55.325,57.5
39,39,55.2625,57.5
40,40,55.2125,57.5
41,41,55.9625,57.5
42,42,56.575,57.5
43,43,55.5375,57.5
44,44,56.2,57.5
45,45,56.2875,57.5
46,46,56.9625,57.5
47,47,57.1125,57.5
48,48,55.775,57.5
49,49,54.9125,57.5
50,50,55.1625,57.5
