wav,txt
fechas1/train/fechas1_000000.wav,por favor el siguiente jueves (4)
fechas1/train/fechas1_000001.wav,el viernes (5) que viene
fechas1/train/fechas1_000002.wav,el viernes (5) gracias
fechas1/train/fechas1_000003.wav,el martes (2) por favor
fechas1/train/fechas1_000004.wav,mañana (+1)
fechas1/train/fechas1_000005.wav,este viernes (5) que viene gracias
fechas1/train/fechas1_000006.wav,pasado mañana (+2)
fechas1/train/fechas1_000007.wav,por favor este martes (2) que viene
fechas1/train/fechas1_000008.wav,mañana (+1)
fechas1/train/fechas1_000009.wav,el siguiente lunes (1)
fechas1/train/fechas1_000010.wav,el próximo jueves (4)
fechas1/train/fechas1_000011.wav,este viernes (5) que viene gracias
fechas1/train/fechas1_000012.wav,el viernes (5) siguiente por favor
fechas1/train/fechas1_000013.wav,este martes (2)
fechas1/train/fechas1_000014.wav,por favor mañana (+1)
fechas1/train/fechas1_000015.wav,en tres días (+3)
fechas1/train/fechas1_000016.wav,por favor el próximo martes (2)
fechas1/train/fechas1_000017.wav,el próximo lunes (1)
fechas1/train/fechas1_000018.wav,por favor el siguiente viernes (5)
fechas1/train/fechas1_000019.wav,en tres días (+3)
fechas1/train/fechas1_000020.wav,el martes (2) gracias
fechas1/train/fechas1_000021.wav,en un par de días (+2)
fechas1/train/fechas1_000022.wav,este lunes (1)
fechas1/train/fechas1_000023.wav,el viernes (5) que viene
fechas1/train/fechas1_000024.wav,el próximo viernes (5)
fechas1/train/fechas1_000025.wav,por favor en un par de días (+2)
fechas1/train/fechas1_000026.wav,el martes (2)
fechas1/train/fechas1_000027.wav,en tres días (+3)
fechas1/train/fechas1_000028.wav,por favor mañana (+1)
fechas1/train/fechas1_000029.wav,este miércoles (3) que viene por favor
fechas1/train/fechas1_000030.wav,por favor en un par de días (+2)
fechas1/train/fechas1_000031.wav,por favor el próximo martes (2)
fechas1/train/fechas1_000032.wav,el siguiente viernes (5) gracias
fechas1/train/fechas1_000033.wav,el martes (2) siguiente
fechas1/train/fechas1_000034.wav,el martes (2)
fechas1/train/fechas1_000035.wav,este lunes (1)
fechas1/train/fechas1_000036.wav,este miércoles (3) próximo
fechas1/train/fechas1_000037.wav,pasado mañana (+2)
fechas1/train/fechas1_000038.wav,este martes (2) siguiente
fechas1/train/fechas1_000039.wav,el jueves (4) por favor
fechas1/train/fechas1_000040.wav,el miércoles (3)
fechas1/train/fechas1_000041.wav,este lunes (1) que viene por favor
fechas1/train/fechas1_000042.wav,en tres días (+3) gracias
fechas1/train/fechas1_000043.wav,el miércoles (3)
fechas1/train/fechas1_000044.wav,el miércoles (3)
fechas1/train/fechas1_000045.wav,este viernes (5)
fechas1/train/fechas1_000046.wav,el próximo viernes (5) gracias
fechas1/train/fechas1_000047.wav,en un par de días (+2) por favor
fechas1/train/fechas1_000048.wav,este martes (2) siguiente
fechas1/train/fechas1_000049.wav,en un par de días (+2)
fechas1/train/fechas1_000050.wav,el viernes (5) próximo
fechas1/train/fechas1_000051.wav,en tres días (+3) gracias
fechas1/train/fechas1_000052.wav,por favor este martes (2) siguiente
fechas1/train/fechas1_000053.wav,el miércoles (3) por favor
fechas1/train/fechas1_000054.wav,el próximo viernes (5)
fechas1/train/fechas1_000055.wav,por favor este lunes (1) siguiente
