Instrucción,Fecha Resultado
13/05/57 por favor el siguiente jueves,17/05/57
27/12/09 el viernes que viene,01/01/10
30/03/02 el viernes gracias,05/04/02
03/09/24 el martes por favor,10/09/24
20/12/21 mañana,21/12/21
10/01/20 este viernes que viene gracias,17/01/20
08/07/12 pasado mañana,10/07/12
12/03/09 por favor este martes que viene,17/03/09
16/09/60 mañana,17/09/60
04/12/48 el siguiente lunes,07/12/48
19/10/07 el próximo jueves,25/10/07
22/12/52 este viernes que viene gracias,27/12/52
07/11/37 el viernes siguiente por favor,13/11/37
07/11/02 este martes,12/11/02
03/09/02 por favor mañana,04/09/02
28/05/08 en tres días,31/05/08
13/08/19 por favor el próximo martes,20/08/19
14/11/20 el próximo lunes,16/11/20
03/05/45 por favor el siguiente viernes,05/05/45
03/01/54 en tres días,06/01/54
19/05/02 el martes gracias,21/05/02
08/05/50 en un par de días,10/05/50
02/11/17 este lunes,06/11/17
21/04/58 el viernes que viene,26/04/58
20/11/48 el próximo viernes,27/11/48
20/08/37 por favor en un par de días,22/08/37
11/10/19 el martes,15/10/19
19/04/40 en tres días,22/04/40
12/11/52 por favor mañana,13/11/52
15/12/24 este miércoles que viene por favor,18/12/24
31/07/00 por favor en un par de días,02/08/00
28/04/14 por favor el próximo martes,29/04/14
30/11/37 el siguiente viernes gracias,04/12/37
11/07/30 el martes siguiente,16/07/30
05/12/24 el martes,10/12/24
12/12/13 este lunes,16/12/13
26/04/19 este miércoles próximo,01/05/19
13/03/30 pasado mañana,15/03/30
03/03/09 este martes siguiente,10/03/09
27/04/08 el jueves por favor,01/05/08
31/01/34 el miércoles,01/02/34
04/09/08 este lunes que viene por favor,08/09/08
16/03/32 en tres días gracias,19/03/32
09/11/30 el miércoles,13/11/30
28/02/54 el miércoles,04/03/54
24/09/23 este viernes,29/09/23
24/11/03 el próximo viernes gracias,28/11/03
20/03/41 en un par de días por favor,22/03/41
09/02/48 este martes siguiente,11/02/48
14/03/11 en un par de días,16/03/11
16/12/33 el viernes próximo,23/12/33
26/01/07 en tres días gracias,29/01/07
11/07/49 por favor este martes siguiente,13/07/49
20/04/26 el miércoles por favor,22/04/26
25/05/56 el próximo viernes,26/05/56
28/06/55 por favor este lunes siguiente,05/07/55
11/06/32 el martes gracias,15/06/32
18/10/51 el siguiente jueves,19/10/51
01/04/17 mañana gracias,02/04/17
29/03/06 el martes,04/04/06
10/02/04 este viernes gracias,13/02/04
29/04/59 el lunes gracias,05/05/59
11/06/20 pasado mañana,13/06/20
17/12/25 por favor el siguiente miércoles,24/12/25
27/02/07 el siguiente martes,06/03/07
19/11/20 el jueves que viene,26/11/20
22/01/09 este lunes gracias,26/01/09
06/02/34 este martes siguiente,07/02/34
08/12/24 el próximo viernes,13/12/24
04/09/40 el próximo martes gracias,11/09/40
11/01/57 el próximo miércoles,17/01/57
23/09/32 el próximo viernes por favor,24/09/32
04/08/14 por favor este miércoles,06/08/14
18/03/33 el siguiente miércoles gracias,23/03/33
15/11/31 el miércoles,19/11/31
18/10/18 este martes siguiente,23/10/18
15/02/60 por favor en tres días,18/02/60
14/12/23 el viernes que viene,15/12/23
19/02/58 el miércoles gracias,20/02/58
28/05/06 el viernes,02/06/06
25/08/54 el martes,01/09/54
18/12/56 este viernes que viene por favor,22/12/56
09/05/15 el próximo viernes,15/05/15
02/12/47 pasado mañana por favor,04/12/47
17/12/21 este martes siguiente gracias,21/12/21
29/08/14 este lunes siguiente,01/09/14
21/06/41 el martes gracias,25/06/41
15/01/34 en un par de días gracias,17/01/34
20/03/24 este martes,26/03/24
01/06/57 por favor en un par de días,03/06/57
19/12/49 el jueves siguiente,23/12/49
14/09/19 el lunes siguiente por favor,16/09/19
03/02/29 por favor este viernes,09/02/29
06/01/05 por favor el próximo martes,11/01/05
19/07/20 por favor pasado mañana,21/07/20
17/11/02 este lunes,18/11/02
19/04/28 este lunes,24/04/28
28/12/35 el siguiente martes gracias,01/01/36
08/01/24 este martes que viene,09/01/24
08/12/05 el martes que viene,13/12/05
05/12/18 este viernes,07/12/18
19/11/50 el viernes que viene,25/11/50
25/03/28 el viernes,31/03/28
28/01/19 en un par de días por favor,30/01/19
20/10/58 este viernes que viene,25/10/58
14/10/44 el miércoles siguiente por favor,19/10/44
30/06/35 por favor pasado mañana,02/07/35
02/09/57 mañana,03/09/57
01/03/41 el jueves gracias,07/03/41
25/10/12 este lunes gracias,29/10/12
06/10/23 el próximo viernes gracias,13/10/23
11/07/12 el miércoles,18/07/12
15/02/22 pasado mañana,17/02/22
12/05/50 el viernes por favor,13/05/50
09/05/48 el lunes próximo,11/05/48
28/07/23 por favor este viernes,04/08/23
11/06/52 este martes,18/06/52
08/06/38 en un par de días,10/06/38
08/05/52 el martes por favor,14/05/52
31/10/35 el siguiente miércoles,07/11/35
22/06/32 el jueves que viene,24/06/32
04/09/19 el próximo miércoles,11/09/19
29/05/12 el miércoles gracias,30/05/12
17/09/45 en un par de días,19/09/45
10/04/44 este viernes siguiente gracias,15/04/44
26/02/08 por favor este miércoles,27/02/08
23/03/04 por favor el próximo miércoles,24/03/04
01/11/09 en tres días por favor,04/11/09
17/09/13 el miércoles,18/09/13
16/04/56 el próximo miércoles,19/04/56
09/05/14 este viernes que viene,16/05/14
15/11/37 el siguiente jueves por favor,19/11/37
04/07/53 el miércoles,09/07/53
12/09/05 el martes siguiente,13/09/05
09/07/34 el viernes gracias,14/07/34
27/03/34 este jueves,30/03/34
17/06/53 el siguiente jueves,19/06/53
28/12/41 el siguiente miércoles gracias,01/01/42
21/06/47 en tres días por favor,24/06/47
22/07/22 este lunes,25/07/22
19/08/49 el próximo lunes por favor,23/08/49
11/01/01 en tres días por favor,14/01/01
11/04/10 este lunes siguiente,12/04/10
04/03/48 por favor el miércoles,11/03/48
09/12/23 en un par de días por favor,11/12/23
03/07/57 el viernes siguiente gracias,06/07/57
08/07/30 el jueves,11/07/30
03/01/10 el viernes,08/01/10
01/05/26 este jueves,07/05/26
02/01/39 este jueves que viene gracias,06/01/39
10/03/14 este martes,11/03/14
14/09/40 este jueves,20/09/40
16/04/00 en tres días,19/04/00
18/08/23 este miércoles gracias,23/08/23
28/11/44 por favor en un par de días,30/11/44
11/01/16 el siguiente miércoles,13/01/16
18/07/45 este miércoles gracias,19/07/45
18/07/09 el lunes,20/07/09
05/02/56 en un par de días,07/02/56
10/10/26 el siguiente martes,13/10/26
28/04/57 este lunes por favor,30/04/57
18/07/45 en tres días,21/07/45
19/08/54 el próximo lunes,24/08/54
04/11/17 en tres días,07/11/17
17/09/13 en tres días,20/09/13
18/07/33 el lunes,25/07/33
29/06/14 este viernes,04/07/14
22/05/48 por favor este viernes próximo,29/05/48
31/07/47 por favor este martes próximo,06/08/47
19/01/00 en un par de días,21/01/00
25/09/53 el miércoles,01/10/53
29/01/29 por favor mañana,30/01/29
01/11/43 el jueves siguiente,05/11/43
30/09/01 este martes,02/10/01
13/01/10 este martes siguiente por favor,19/01/10
25/07/32 este viernes gracias,30/07/32
03/08/27 el martes siguiente gracias,10/08/27
25/06/21 el miércoles,30/06/21
13/03/05 este martes que viene,15/03/05
10/08/21 por favor en un par de días,12/08/21
25/11/50 el jueves próximo por favor,01/12/50
24/01/07 el siguiente jueves por favor,25/01/07
07/09/07 el lunes próximo,10/09/07
07/08/43 en un par de días,09/08/43
17/03/06 pasado mañana,19/03/06
16/10/47 pasado mañana,18/10/47
13/04/11 el lunes,18/04/11
09/07/11 mañana,10/07/11
10/03/59 el siguiente miércoles,12/03/59
22/08/42 por favor mañana,23/08/42
28/04/49 el siguiente lunes,03/05/49
24/10/14 el próximo viernes,31/10/14
12/10/23 el viernes próximo,13/10/23
04/05/47 el viernes,10/05/47
02/06/54 el próximo miércoles gracias,03/06/54
17/12/37 este viernes,18/12/37
01/01/19 el viernes,04/01/19
19/05/48 el próximo miércoles,20/05/48
17/01/18 este jueves gracias,18/01/18
19/12/27 en un par de días por favor,21/12/27
18/10/35 en un par de días,20/10/35
04/04/60 este miércoles por favor,07/04/60
21/04/58 por favor el miércoles,24/04/58
02/07/33 mañana,03/07/33
21/04/39 el siguiente martes por favor,26/04/39
07/06/46 este lunes que viene,11/06/46
03/07/40 el siguiente martes,10/07/40
09/11/10 pasado mañana,11/11/10
29/03/22 este martes,05/04/22
27/02/20 pasado mañana,29/02/20
29/09/05 este jueves,06/10/05
01/05/30 el jueves,02/05/30
20/11/01 por favor el siguiente martes,27/11/01
11/10/52 el siguiente lunes,14/10/52
10/09/49 mañana por favor,11/09/49
23/08/20 este lunes,24/08/20
16/10/52 el martes próximo,22/10/52
04/10/19 el siguiente jueves,10/10/19
23/08/00 el miércoles,30/08/00
15/05/06 el próximo viernes por favor,19/05/06
13/08/56 pasado mañana,15/08/56
13/04/05 el próximo lunes,18/04/05
15/07/20 el siguiente jueves,16/07/20
17/01/06 el lunes,23/01/06
26/10/02 el siguiente jueves gracias,31/10/02
23/08/29 el siguiente miércoles,29/08/29
10/05/06 el jueves que viene,11/05/06
15/02/46 el siguiente martes,20/02/46
08/05/21 el martes que viene,11/05/21
25/12/24 este jueves que viene por favor,26/12/24
07/01/60 el lunes,12/01/60
20/07/43 el siguiente martes,21/07/43
22/03/19 el siguiente viernes,29/03/19
17/05/48 por favor el siguiente martes,19/05/48
14/11/11 este viernes siguiente gracias,18/11/11
25/03/51 en un par de días,27/03/51
